site_name,site_lat,site_lon,reach_ID,y_pred,date,year,month
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,13.811054,2008-10-15,2008,10
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,56.75955,2009-06-28,2009,6
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,140.89319,2009-08-15,2009,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,207.55591,2009-08-31,2009,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,113.23367,2009-09-16,2009,9
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,42.260113,2009-10-02,2009,10
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,310.41122,2009-11-19,2009,11
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,373.35983,2010-01-06,2010,1
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,90.70677,2010-04-12,2010,4
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,131.39993,2010-05-30,2010,5
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,68.79116,2010-06-15,2010,6
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,42.318165,2010-07-01,2010,7
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,57.1326,2010-08-02,2010,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,56.54621,2010-08-18,2010,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,249.37872,2011-01-09,2011,1
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,147.4086,2011-04-15,2011,4
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,91.89916,2011-05-17,2011,5
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,39.57134,2011-06-02,2011,6
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,65.33345,2011-06-18,2011,6
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,47.537678,2011-07-04,2011,7
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,73.16365,2011-07-20,2011,7
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,67.0814,2011-08-05,2011,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,9.446319,2011-10-24,2011,10
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,104.565445,2011-11-09,2011,11
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,164.8309,2011-11-25,2011,11
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,192.3558,2012-04-01,2012,4
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,281.5646,2012-05-03,2012,5
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,239.30894,2012-06-04,2012,6
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,295.11365,2012-06-20,2012,6
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,269.47598,2012-07-06,2012,7
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,361.1263,2012-07-22,2012,7
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,142.23175,2012-08-07,2012,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,162.53702,2012-08-23,2012,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,119.63663,2012-09-08,2012,9
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,78.37111,2012-09-24,2012,9
