OBJECTID,Join_Count,TARGET_FID,site_name,avulsion_year,z_p95_q,zlog_p95_q,z_mean_q,zlog_mean_q,z_flood_dur,zlog_flood_dur,av_type,site_area,site_lat,site_lon,country,continent,identity,climate
78,1,78,G3,1999,-0.102821392,-0.016813313,-0.384209396,-0.2995892,-0.398550311,-0.043965274,fan,Pacific Islands,-9.6482,148.7316,Papua New Guinea,Oceania,f8d19db1-8c97-c4b8-34a3-59672dab4928,Am Tropical-Monsoon
79,1,79,G4,1998,0.817300727,0.875955377,-0.384209396,-0.2995892,-0.064355149,0.261874147,fan,Pacific Islands,-9.6206,148.65,Papua New Guinea,Oceania,f8d19db1-8c97-c4b8-34a3-59672dab4928,Am Tropical-Monsoon
80,1,80,G5,1997,-0.303985604,-0.056995634,0.364887735,0.408791988,-0.560989865,-0.213104503,fan,Pacific Islands,-4.1512,135.244,Indonesia,Asia,57912377-9f5b-a79f-281e-5dc891739f56,Af Tropical-Rainforest
81,1,81,G6,2005,0.041606505,0.138743254,-0.038479489,0.084048548,-0.227314182,0.110911195,fan,Pacific Islands,-3.96488,135.16649,Indonesia,Asia,57912377-9f5b-a79f-281e-5dc891739f56,Af Tropical-Rainforest
82,1,82,G7,2013,1.274860445,0.823039252,0.990142328,0.852175667,1.514942194,1.121982485,fan,Pacific Islands,-4.0073,135.2514,Indonesia,Asia,57912377-9f5b-a79f-281e-5dc891739f56,Af Tropical-Rainforest
83,1,83,G8,2017,2.079893148,1.538253738,2.194282751,1.846816204,3.274173996,1.706152801,intra-lobe,Pacific Islands,-3.9686,135.0749,Indonesia,Asia,57912377-9f5b-a79f-281e-5dc891739f56,Af Tropical-Rainforest
84,1,84,G9,2013,1.323020487,0.905102278,1.611898227,1.170475402,1.800988609,1.193339386,fan,Pacific Islands,-3.0491,136.3711,Indonesia,Asia,57912377-9f5b-a79f-281e-5dc891739f56,Af Tropical-Rainforest
85,1,85,H001,2008,1.203709523,0.677042241,0.893995791,0.657458464,1.094128096,0.82360816,fan,Himalaya,26.5955,87.0109,Nepal,Asia,bd499a5c-1b1d-fbbd-727e-f431d021771b,Cwa Temperate-Dry_Winter-Hot_Summer
86,1,86,H002,2000,0.619441793,0.431067888,0.753856545,0.618091492,0.604942397,0.618604211,fan,Himalaya,28.0239,95.439,India,Asia,bd499a5c-1b1d-fbbd-727e-f431d021771b,Cwa Temperate-Dry_Winter-Hot_Summer
87,1,87,H005,1998,1.097030974,0.661226629,1.195771965,0.881595135,2.034433453,1.235813855,fan,Himalaya,28.1144,95.6672,India,Asia,bd499a5c-1b1d-fbbd-727e-f431d021771b,Cwa Temperate-Dry_Winter-Hot_Summer
88,1,88,H006,1997,0.095398952,0.20612787,0.270626165,0.27740736,-0.253393297,0.071169785,fan,Himalaya,26.4924,96.7136,Myanmar,Asia,bd499a5c-1b1d-fbbd-727e-f431d021771b,Cwa Temperate-Dry_Winter-Hot_Summer
