site_name,avulsion_year,z_p95_q,zlog_p95_q,z_mean_q,zlog_mean_q,z_flood_dur,zlog_flood_dur,av_type,site_area
KEN.001.1989,1989,0.4574235993416927,0.36282963079595637,0.035198074171937876,0.12265892182444352,0.43531594258723433,0.6180574828109704,delta,Africa
MAHAJAMBA.2004,2004,1.635541333400457,0.9518064191912825,1.6223443344841897,1.2081247504307404,1.5521953383984828,0.8132865375476028,fan,Madagascar 
MALAWI1.2014,2014,1.129419196461926,1.1948246847928454,0.6534004441502498,0.7954636440763699,1.0607573975643785,0.7852816815654259,fan,Africa
MANAMBOLO.2004,2004,0.9649535227120648,0.7175216465540255,1.104593353088695,0.9701050429591727,1.9068214420530594,0.9977431118892455,delta,Madagascar 
PI0019.1989,1989,-0.048541957,0.079326363,0.7498911687631157,0.7390396058001945,-0.107433958,0.24543688299754723,delta,Pacific Islands
PI0209.2006,2006,-0.024810387,0.072452558,-0.794271768,-0.818554519,0.13459361277936907,0.4347526810927636,delta,Pacific Islands
PI0269.1.1996,1996,0.4829068777038176,0.5491856642620583,0.38828889952211365,0.5283811086685403,0.38405814377155767,0.6518760848763998,fan,Pacific Islands
PI0354.2002,2002,0.5001880714224884,0.49665480199841605,0.7870403165216263,0.7850271275699375,0.3106635503695368,0.6622629247267884,fan,Pacific Islands
PI0801.1.2007,2007,0.3986338131000376,0.43241389512591255,0.2635072954707003,0.33235413148479964,-0.16748603,0.11319710159106346,delta,Pacific Islands
PNG.010.2011,2011,1.047469326507072,1.0271442866781302,1.1283021994917823,1.1076511995976592,1.7780368511438074,1.211002198976336,fan,Pacific Islands
PNG0066.1.2003,2003,-0.699035669,-0.594573925,-0.675556266,-0.549172025,-0.814182091,-0.763490141,fan,Pacific Islands
PNG0069.1991,1991,-0.483922219,-0.388921972,-0.61400228,-0.512122786,-0.656260337,-0.467095942,fan,Pacific Islands
R1,2000,1.6392878867904175,1.3364986077750296,1.6330113356832676,1.375248740694307,2.0474249526075328,1.1394090133601467,retrogradational,Pacific Islands
R10.1,1986,-0.149070918,0.023719879174706894,-0.22595348,-0.106003986,0.24959644698358963,0.6661440053995707,retrogradational,South America
R10.2,1995,0.3123222274617036,0.5001830778180658,0.011384737513011469,0.2161770375944779,0.657454364,0.8091979880234116,retrogradational,South America
R10.3,2008,1.0080165793437765,1.0864329708254523,0.34786069858033314,0.6162300322522752,1.8518954047489053,1.0878504214259164,retrogradational,South America
R11.1,1984,0.1192751074037106,0.35119107859141946,0.23098717998960133,0.5573279929818936,0.3393508443004906,0.7228761082996006,retrogradational,South America
R11.2,1990,0.2349137759280218,0.4531351720013641,-0.097383218,0.1713672981527707,0.2872315705364896,0.704240089,retrogradational,South America
R11.3,2000,-0.749113098,-0.632588796,-0.540828794,-0.554391675,-0.96307056,-1.356689954,retrogradational,South America
R12,1985,-0.046861664,0.1867672300562534,0.036917686,0.31977281932940854,0.28441542094602185,0.6998671751956983,retrogradational,South America
R14,1989,0.5246590471767528,0.6896190562730031,-0.002148462,0.22150721072625063,0.3240768438699298,0.7080251661439958,retrogradational,South America
R15,2005,0.2363365888348957,0.3465495388877574,-0.326328918,-0.329529755,0.24167367367985937,0.5595476469778631,retrogradational,South America
R16.2,1992,-0.101088933,0.020966264,0.25499520493350997,0.449285733,0.48269458786853775,0.7069828042986344,retrogradational,South America
R16.3,2011,3.578780013,2.781218261543405,1.4151441029776404,1.608033069802172,2.1687501587799685,1.1056342695981793,retrogradational,South America
R17.1,1984,0.5705820613968208,0.6955497354143649,0.9294263467608266,1.163875166432902,1.0447131115056814,0.8733693879024971,retrogradational,South America
R17.2,2006,-0.200316886,-0.082595796,0.036292244,0.19603433832502273,0.11678439175290792,0.5726213108022105,retrogradational,South America
R18,1984,0.9831873754859166,1.0228228885744772,1.0231215889399456,1.045177759367044,0.44336310524683803,0.7486194093830023,retrogradational,South America
R19.2,1986,-0.34271879,-0.241044987,-0.129218411,-0.002159466,-0.49822158,0.18476184990017505,retrogradational,South America
R19.3,2012,1.4047017583339632,1.3540681393013574,0.48111783926370827,0.5894797199841475,1.5595494111428627,1.0372241906132338,retrogradational,South America
